Course,Prerequisites
ELT1010: ELECTRO-ASSEMBLY 1,
ELT1030: CONVERSION & DISTRIBUTION,
ELT1050: ELECTRONIC POWER SUPPLY 1,ELT1010
ELT1080: CONTROL SYSTEMS 1,ELT1010
ELT1090: ANALOG COMMUNICATION 1,ELT1010
ELT1110: SECURITY SYSTEMS 1,ELT1010
ELT1130: ROBOTICS 1,
ELT1140: ROBOTICS APPLICATIONS,ELT1010
ELT1910: ELT PROJECT A,
ELT2010: ELECTRO-ASSEMBLY 2,ELT1010
ELT2020: ELECTRICAL SERVICING,ELT1010
ELT2030: BRANCH CIRCUIT WIRING,ELT1030
ELT2050:ELECTRONIC POWER SUPPLY 2,ELT1050
ELT2080: CONTROL SYSTEMS 2,ELT1080
ELT2090: ANALOG COMMUNICATION 2,ELT1090
ELT2110: SECURITY SYSTEMS 2,ELT1110
ELT2120: ELECTRO-OPTICS,
ELT2130: MAGNETIC CONTROL DEVICES,ELT1010
ELT2140: ROBOTICS 2,ELT1130
ELT2150: ELECTRONIC CONTROLS,ELT2130
ELT2160: ROBOTICS SENSOR 1,ELT1140
ELT2170: ROBOTICS SENSOR 2,ELT2160
ELT2180: PROCESS CONTROL,
ELT2910: ELT PROJECT B,
ELT2920: ELT PROJECT C,
ELT2950:ELT INTERMEDIATE PRACTICUM,
ELT3010: ELECTRO-ASSEMBLY 3,ELT2010
ELT3020: ELECTRONIC SERVICING,ELT2020
ELT3030: POWER SYSTEMS & SERVICES,ELT2030
ELT3040: GENERATION/TRANSFORMATION,ELT1030
ELT3110: AMPLIFIERS,
ELT3140: MOTORS,
ELT3150: ROBOTICS 3,ELT2140
ELT3160: CONTROL APPLICATIONS,ELT2150
ELT3170: ROBOTICS MICROPROCESSORS,"ELT1140,CSE3120"
ELT3180: ROBOTICS VISION SYSTEMS,ELT2170
ELT3190: ROBOTICS KINEMATICS & BEHAVIOUR,ELT3170
ELT3200: ROBOTICS ARTIFICIAL INTELLIGENCE,ELT3170
ELT3205:EXPERT SYSTEMS,
ELT3910: ELT PROJECT D,
ELT3920: ELT PROJECT E,
ELT3950: ELT ADVANCED PRACTICUM,
