Course,Prerequisites
NET1010: DIGITAL TECHNOLOGY 1,
NET1910: NET PROJECT A,
NET2010: DIGITAL TECHNOLOGY 2,NET1010
NET2020: WORKSTATION TECHNOLOGY & OPERATIONS,
NET2030: NETWORK STRUCTURES,
NET2040: NETWORK MEDIA & DEVICES,
NET2050: OPEN SYSTEM INTERCONNECTION,
NET2060: NETWORK PROTOCOLS,
NET2070: LOCAL AREA NETWORKS,
NET2080:LAPTOPS & PERIPHERALS,
NET2110: TELECOMMUNICATIONS 1,
NET2910: NET PROJECT B,NET1910
NET2920: NET PROJECT C,NET2910
NET3010: DIGITAL TECHNOLOGY 3,NET2010
NET3020: DIGITAL APPLICATIONS,NET2010
NET3030: MICROPROCESSORS,NET2010
NET3040: MICROPROCESSOR INTERFACE,NET3030
NET3050: NETWORK OPERATING SYSTEMS,"NET2030,NET2040,NET2050,NET2060,NET2070"
NET3060:WIDE AREA NETWORKS,"NET2030,NET2040,NET2050,NET2060,NET2070"
NET3070: ROUTING FUNDAMENTALS,"NET2030,NET2040,NET2050,NET2060,NET2070"
NET3080: INTERNET PROCESSES,"NET2030,NET2040,NET2050,NET2060,NET2070"
NET3090: NETWORK MANAGEMENT,"NET2030,NET2040,NET2050,NET2060,NET2070"
"NET3100: NETWORK MEDIA & DEVICES, SECURITY",
NET3110: TELECOMMUNICATIONS 2,NET2110
NET3910: NET PROJECT D,NET2920
NET3920: NET PROJECT E,NET3910
