Course,Prerequisites,Course Number,Course Name
CSE1010: COMPUTER SCIENCE 1,,CSE1010,COMPUTER SCIENCE 1
CSE1110: STRUCTURED PROGRAMMING 1,,CSE1110,STRUCTURED PROGRAMMING 1
CSE1120: STRUCTURED PROGRAMMING 2,CSE1110,CSE1120,STRUCTURED PROGRAMMING 2
CSE1210: CLIENT -SIDE SCRIPTING 1,,CSE1210,CLIENT -SIDE SCRIPTING 1
CSE1220: CLIENT -SIDE SCRIPTING 2,,CSE1220,CLIENT -SIDE SCRIPTING 2
CSE1240: ROBOTICS PROGRAMMING 1,CSE1110,CSE1240,ROBOTICS PROGRAMMING 1
CSE1910: CSE PROJECT A,,CSE1910,CSE PROJECT A
CSE2010: COMPUTER SCIENCE 2,"CSE1010,CSE1120",CSE2010,COMPUTER SCIENCE 2
CSE2110: PROCEDURAL PROGRAMMING 1,CSE1120,CSE2110,PROCEDURAL PROGRAMMING 1
CSE2120: DATA STRUCTURES 1,CSE2110,CSE2120,DATA STRUCTURES 1
CSE2130: FILES & FILE STRUCTURES 1,CSE2120,CSE2130,FILES & FILE STRUCTURES 1
CSE2140: SECOND LANGUAGE PROGRAMMING 1,"CSE2110,CSE1120",CSE2140,SECOND LANGUAGE PROGRAMMING 1
CSE2210: CLIENT -SIDE SCRIPTING 3,"CSE1220,CSE1120",CSE2210,CLIENT -SIDE SCRIPTING 3
CSE2240: ROBOTICS PROGRAMMING 2,"CSE1240,CSE1120",CSE2240,ROBOTICS PROGRAMMING 2
CSE2910: CSE PROJECT B,CSE1910,CSE2910,CSE PROJECT B
CSE2920: CSE PROJECT C,CSE2910,CSE2920,CSE PROJECT C
CSE3010: COMPUTER SCIENCE 3,"CSE2010,CSE2110",CSE3010,COMPUTER SCIENCE 3
CSE3020: COMPUTER SCIENCE 4,"CSE3010,CSE3110",CSE3020,COMPUTER SCIENCE 4
CSE3110: ITERATIVE ALGORITHM 1,CSE2120,CSE3110,ITERATIVE ALGORITHM 1
CSE3120: OBJECT -ORIENTED PROGRAMMING 1,CSE2110,CSE3120,OBJECT -ORIENTED PROGRAMMING 1
CSE3130: OBJECT -ORIENTED PROGRAMMING 2,CSE3120,CSE3130,OBJECT -ORIENTED PROGRAMMING 2
CSE3140: SECOND LANGUAGE PROGRAMM ING 2,CSE2120,CSE3140,SECOND LANGUAGE PROGRAMM ING 2
CSE3210: SERVER -SIDE SCRIPTING 1,"CSE2210,CSE2110",CSE3210,SERVER -SIDE SCRIPTING 1
CSE3240: ROBOTICS PROGRAMMING 3,"CSE2240,CSE2110",CSE3240,ROBOTICS PROGRAMMING 3
CSE3310: RECURSIVE ALGORITHMS 1,"CSE3110,CSE3120",CSE3310,RECURSIVE ALGORITHMS 1
CSE3320: DYNAMIC DATA STRUCTURES 1,CSE3310,CSE3320,DYNAMIC DATA STRUCTURES 1
CSE3330: DYNAMIC DATA STRUCTURES 2,CSE3320,CSE3330,DYNAMIC DATA STRUCTURES 2
CSE3340: DYNAMIC DATA STRUCTURES 3,CSE3330,CSE3340,DYNAMIC DATA STRUCTURES 3
CSE3910: CSE PROJECT D,CSE2920,CSE3910,CSE PROJECT D
CSE3920: CSE PROJECT E,CSE3910,CSE3920,CSE PROJECT E
ELT1010: ELECTRO-ASSEMBLY 1,,ELT1010,ELECTRO-ASSEMBLY 1
ELT1130: ROBOTICS 1,,ELT1130,ROBOTICS 1
ELT1140: ROBOTICS APPLICATIONS,ELT1010,ELT1140,ROBOTICS APPLICATIONS
ELT1910: ELT PROJECT A,,ELT1910,ELT PROJECT A
ELT2010: ELECTRO-ASSEMBLY 2,ELT1010,ELT2010,ELECTRO-ASSEMBLY 2
ELT2140: ROBOTICS 2,ELT1130,ELT2140,ROBOTICS 2
ELT2160: ROBOTICS SENSOR 1,ELT1140,ELT2160,ROBOTICS SENSOR 1
ELT2170: ROBOTICS SENSOR 2,ELT2160,ELT2170,ROBOTICS SENSOR 2
ELT2910: ELT PROJECT B,ELT1910,ELT2910,ELT PROJECT B
ELT2920: ELT PROJECT C,ELT2910,ELT2920,ELT PROJECT C
ELT3150: ROBOTICS 3,ELT2140,ELT3150,ROBOTICS 3
ELT3170: ROBOTICS MICROPROCESSORS,"ELT1140,CSE3120",ELT3170,ROBOTICS MICROPROCESSORS
ELT3180: ROBOTICS VISION SYSTEMS,ELT2170,ELT3180,ROBOTICS VISION SYSTEMS
ELT3190: ROBOTICS KINEMATICS & BEHAVIOUR,ELT3170,ELT3190,ROBOTICS KINEMATICS & BEHAVIOUR
ELT3200: ROBOTICS ARTIFICIAL INTELLIGENCE,ELT3170,ELT3200,ROBOTICS ARTIFICIAL INTELLIGENCE
ELT3910: ELT PROJECT D,ELT2920,ELT3910,ELT PROJECT D
ELT3920: ELT PROJECT E,ELT3910,ELT3920,ELT PROJECT E
NET1010: DIGITAL TECHNOLOGY 1,,NET1010,DIGITAL TECHNOLOGY 1
NET1910: NET PROJECT A,,NET1910,NET PROJECT A
NET2010: DIGITAL TECHNOLOGY 2,NET1010,NET2010,DIGITAL TECHNOLOGY 2
NET2020: WORKSTATION TECHNOLOGY & OPERATIONS,,NET2020,WORKSTATION TECHNOLOGY & OPERATIONS
NET2030: NETWORK STRUCTURES,,NET2030,NETWORK STRUCTURES
NET2040: NETWORK MEDIA & DEVICES,,NET2040,NETWORK MEDIA & DEVICES
NET2050: OPEN SYSTEM INTERCONNECTION,,NET2050,OPEN SYSTEM INTERCONNECTION
NET2060: NETWORK PROTOCOLS,,NET2060,NETWORK PROTOCOLS
NET2070: LOCAL AREA NETWORKS,,NET2070,LOCAL AREA NETWORKS
NET2080:LAPTOPS & PERIPHERALS,,NET2080,LAPTOPS & PERIPHERALS
NET2110: TELECOMMUNICATIONS 1,,NET2110,TELECOMMUNICATIONS 1
NET2910: NET PROJECT B,NET1910,NET2910,NET PROJECT B
NET2920: NET PROJECT C,NET2910,NET2920,NET PROJECT C
NET3010: DIGITAL TECHNOLOGY 3,NET2010,NET3010,DIGITAL TECHNOLOGY 3
NET3020: DIGITAL APPLICATIONS,NET2010,NET3020,DIGITAL APPLICATIONS
NET3030: MICROPROCESSORS,NET2010,NET3030,MICROPROCESSORS
NET3040: MICROPROCESSOR INTERFACE,NET3030,NET3040,MICROPROCESSOR INTERFACE
NET3050: NETWORK OPERATING SYSTEMS,"NET2030,NET2040,NET2050,NET2060,NET2070",NET3050,NETWORK OPERATING SYSTEMS
NET3060:WIDE AREA NETWORKS,"NET2030,NET2040,NET2050,NET2060,NET2070",NET3060,WIDE AREA NETWORKS
NET3070: ROUTING FUNDAMENTALS,"NET2030,NET2040,NET2050,NET2060,NET2070",NET3070,ROUTING FUNDAMENTALS
NET3080: INTERNET PROCESSES,"NET2030,NET2040,NET2050,NET2060,NET2070",NET3080,INTERNET PROCESSES
NET3090: NETWORK MANAGEMENT,"NET2030,NET2040,NET2050,NET2060,NET2070",NET3090,NETWORK MANAGEMENT
"NET3100: NETWORK MEDIA & DEVICES, SECURITY",,NET3100,"NETWORK MEDIA & DEVICES, SECURITY"
NET3110: TELECOMMUNICATIONS 2,NET2110,NET3110,TELECOMMUNICATIONS 2
NET3910: NET PROJECT D,NET2920,NET3910,NET PROJECT D
NET3920: NET PROJECT E,NET3910,NET3920,NET PROJECT E
DES1020: THE DESIGN PROCESS,,DES1020,THE DESIGN PROCESS
DES1040: 3-D DESIGN 1,DES1020,DES1040,3-D DESIGN 1
DES2045: 3-D DESIGN 2,DES1040,DES2045,3-D DESIGN 2
